#FALL SLOW RIGHT
13017	211	602	235	630	60
13018	291	442	315	471	60
13019	251	601	275	633	60

#FALL IN FLY LEFT
13022	51	603	77	631	60
#FALL IN FLY RIGHT
13023	330	603	356	631	60

#JUMP LEFT
13024	51	443	77	471	60
#JUMP RIGHT
13025	331	443	355	471	60

#BRACE LEFT
13026	174	282	192	312	60
#BRACE RIGHT
13027	214	282	232	312	60

#FLY LEFT
13028	10	602	36	630	60
13029	91	602	117	632	60
#fly right
13030	371	602	397	630	60
13031	290	602	316	632	60

#ATTACK LEFT
13032	146	443	172	473	60
13033	0	483	18	511	60
13034	236	443	260	473	60
#ATTACK RIGHT
13035	236	443	260	473	60
13036	0	483	18	511	60
13037	146	443	172	473	60

#HOLD LEFT
13038	62	522	84	552	60
13039	32	522	56	552	60
13040	2	522	26	552	60

#HOLD RIGHT
13041	322	522	344	552	60
13042	350	522	374	552	60
13043	381	522	405	552	60

#PIPING
13044	34	483	52	511	60

#KICK LEFT
13045	136	482	160	512	60
#KICK RIGHT
13046	247	482	269	512	60

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
402	11121	100	11222	100	11223	100
403	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
404	11321	50	11322	50	11323	50
405	11311	50	11312	50	11313	50

#JUMP WALK
406	11417	100
407	11413	100

#JUMP RUN
408	11427	100
409	11423	100

#SIT RIGHT & LEFT 
410	11521	100
411	11511	100

#BRACE RIGHT & LEFT 
412	11621	100
413	11611	100

#KICKRIGHT
414	11700	100
#KICKLEFT
415	11701	100

#PIPING
416	11702	100

#DIE
499	13001	100

################### SMALL #################
500	12121	100
501	12111	100


#WALK RIGHT&LEFT
502	12121	100	12222	100	12223	100
503	12111	100	12212	100	12213	100

#RUN  RIGHT&LEFT
504	12321	100	12322	100	12323	100
505	12311	100	12312	100	12313	100

#BRACE  RIGHT&LEFT
506	12511	100
507	12521	100

#JUMP WALK  RIGHT&LEFT
508	12417	100
509	12413	100

#JUMP RUN 
510	12423	100
511	12427	100

#piping
512	12428	100

######################TAIL#######################
#idle left
550	13000	100
#idle right
551	13001	100
#WALKING LEFT
552	13000	100	13002	100	13003	100
#WALKING RIGHT
553	13001	100	13004	100	13005	100

#RUNNING LEFT
554	13006	100	13007	100	13008	100
#RUNNING RIGHT
555	13009	100	13010	100	13011	100

#JUMP LEFT
556	13024	100
#JUMP RIGHT
557	13025	100

#FALLING LEFT
558	13012	100
#FALLING RIGHT
559	13013	100

#FALLING SLOW LEFT
560	13014	50	13015	50	13016	50
#FALLING SLOW RIGHT
561	13017	50	13018	50	13019	50

#BRACE LEFT
562	13026	100
#BRACE RIGHT
563	13027	100

#FLYUP LEFT
564	13028	50	13029	50
#FLYUP RIGHT
565	13030	50	13031	50

#FALLINFLYLEFT
566	13022	100
#FALLINFLYRIGHT
567	13023	100


#ATTACK LEFT
568	13032	100	13033	100	13034	100
#ATTACK RIGHT
569	13035	100	13036	100	13037	100

#HOLD LEFT
570	13038	100	13039	100	13040	100
#HOLD RIGHT
571	13041	100	13042	100	13043	100

#HOLD LEFT IDLE
572	13038	100
#HOLD RIGHT IDLE
573	13039	100

#PIPING
574	13044	100

#KICK LEFT
575	13045	100
#KICK RIGHT
576	13046	100
